Name,星級,職業,傷害,主能力,副能力,戰技,連攜技觸發條件,連攜技,大招,天賦1,天賦2,特殊機制
管理員,6星,近衛,物理,敏捷,力量,物理傷害. 猛擊,連攜技造成傷害,"物理傷害, 對敵人附著源石結晶 5s, 定住敵人. 冷卻時間 15s","物理傷害, 群傷, 消耗源石結晶有二次物理傷害",當敵人附著的源石結晶被消耗後，自身攻擊力++  持續 15s (不疊加）,附著源石結晶的敵人收到的物理傷害++,"施加物理異常和破防會消耗源石結晶, 造成物理傷害"
黎風,6星,近衛,物理,敏捷,力量,"2次物理傷害. 倒地
最後一擊命中的敵人若 ❌ 破防, 物理脆弱 12s",處於物理脆弱 or 碎甲的敵人受到重擊,"物理傷害, 獲得連擊 20s. 冷卻時間 15s","物理傷害, 群傷, 倒地
若連擊, 則會有大量物理傷害","智識, 意志 → 攻擊++","When 自身造成倒地狀態, 額外造成傷害",
陳千語,5星,近衛,物理,敏捷,力量,物理傷害. 擊飛,敵人進入破防,物理傷害. 擊飛,"物理傷害, 對單","技能命中敵人後, 攻擊++","技能打斷敵人蓄力時, 失衡++",
駿尉,6星,先鋒,物理,意志,敏捷,碎甲. 基於消耗的破防層數回復技力,敵人被猛擊或碎甲消耗破防,"根據消耗破防層數斬擊, 恢復技力. 冷卻時間 17s","物理傷害, 召喚4個盾衛, 鐵誓+5, 鐵誓持續時間 30s.","通過自身恢復80技力後, 獲得持續20s 士氣激昂。
士氣激昂：攻擊++, 源石技藝強度++","當任意幹員使鐵誓-1時, 該幹員獲得持續10s 士氣激昂","當敵人受到物理異常或自身連攜技時, 鐵誓-1, 召喚盾衛造成物理傷害, 恢復技力
當鐵誓→0時, 4名盾衛同時造成物理傷害, 恢復技力"
洛茜,6星,近衛,物理,敏捷,智識,"物理傷害. 擊飛.
若目標已破防, 灼熱傷害",敵人同時處於破防+法術附著,"  1. 物理傷害
  2. 法術附著→0, 根據消耗層數造成物理傷害. 擊飛. 提升爆擊率+爆擊傷害（精準銜接時, 破防+1)",灼熱傷害. 灼熱附著. 爆擊時有高爆擊傷害,"戰技會對目標施加爪印斫痕持續15s (不疊加）。
","對處於爪印斫痕的敵人造成爆擊傷害時，會觸發1次攻擊力24%的灼熱傷害，且自身回復生命 ❇️
若目標處於燃燒 🔥, 上述傷害+治療效果提升至 1.5倍
",爪印斫痕: 目標每s受到自身30%物理傷害，受到的物理傷害和灼熱傷害+12%
佩麗卡,5星,術師,電磁,智識,意志,電磁傷害. 電磁附著+1,對敵人重擊,電磁傷害. 導電 ⚡ 5s. 冷卻時間：19s,電磁傷害,對失衡敵人攻擊++,"連攜技命中破防敵人時, 彈射1次",
狼衛,5星,術師,灼熱,力量,敏捷,"若目標已 🔥或 ⚡, 法術附著→0. 灼熱燒害
Else. 灼熱傷害. 灼熱附著.
",敵人被施加法術附著,灼熱傷害. 灼熱附著,灼熱傷害. 燃燒 🔥,"施加 🔥 後, 自身攻擊++","戰技消耗法術異常, 返還技力",
艾爾黛拉,6星,輔助,自然,智識,意志,"自然傷害. 若目標已腐蝕 🤢, 🤢 → 0 並施加物理脆弱+法術脆弱 (30s)",對無破防和法術附著的敵人重擊,自然燒害. 群傷. 腐蝕 🤢 持續時間 7s. 冷卻時間 17s,"向四周散射多利先生的分身，命中敵人造成
自然傷害","戰技命中敵人後生成 3 個多利先生的影子。
終結技分身落地時有10%生成多利先生的影子。",當戰技觸發額外效果後，若附近存在其他處於腐蝕 🤢 的敵人，會再發動一次戰技 (最多一次),多利先生的影子：主控幹員觸碰後可回生命 ❇️。當主幹員滿後會治療小隊生命百分比最低的人
潔爾佩塔,6星,輔助,自然,意志,智識,吸引敵人. 自然傷害. 自然附著.,敵人被施加法術異常,吸引. 自然傷害. 擊飛. 冷卻時間 19s,"自然傷害. 自然附著. 緩速. 法術脆弱. (5s)
若敵人處於破防，法術脆弱會隨破防層數提升
若敵人處於擊飛，會保持擊飛直到效果結束 (5s)","近衛, 術師, 輔助終結技充能效率++",戰技最後一擊 or 連攜技命中≥ 2 敵人後，主控幹員生命 ❇️++。當主幹員滿後會治療小隊生命百分比最低的人,
湯湯,6星,術師,寒冷,敏捷,力量,"寒冷傷害. 掀起一個水龍捲. 消耗所有渦流使其形成額外的水龍捲, 根據形成數量返還技力.
若本次形成≥ 2 個水龍捲 3s. 法術脆弱 15s. ",敵人被施加寒冷附著 or 法術爆發,寒冷傷害. 渦流+1. 渦流持續時間 30s. 場上最多2個渦流. 冷卻時間 12s,"寒冷傷害. 暫停行動. 
若途中下落攻擊. 傷害++ ","渦流5m範圍內, 友方加速, 敵人緩速","若終結技時下落攻擊，水龍捲+1, all 渦流→水龍捲, 造成傷害++",水龍捲：範圍內敵人寒冷附著+1. 寒冷傷害. 戰技傷害
別禮,6星,突擊,寒冷,力量,意志,"對主控武器施加buff. 返還技力. 重擊時造成寒冷傷害. 施加寒冷附著.此buff持續時間15s, 重擊後消失",敵人有 ≥ 3 的寒冷附著,"寒冷附著 → 0, 造成其層數的寒冷傷害, 根據層數獲得終結技能量","寒冷傷害. ","當別禮消耗任何法術附著後, 對目標施加寒冷脆弱 = 被消耗的層數x4%, 15s","別禮終結技造成傷害時, 若敵人處於寒冷脆弱, 效果 1.5x",
塞希,5星,輔助,寒冷,意志,智識,"召喚支援晶體環繞主幹員. ",支援晶體生命回復次數耗盡,寒冷傷害. 寒冷附著,寒冷增福 + 自然增福.,"連攜技命中敵人後, 若敵人處於寒冷附著or 凍結 ❄️, 使目標受到寒冷傷害++",終結技會淨化全隊的寒冷附著和凍結 ❄️ 。,"支援晶體：重擊後為主幹員回復生命 ❇️, 最多 2 次. 若生命已滿則施加法術增幅."
晝雪,5星,重裝,寒冷,力量,意志,"自身及周圍幹員獲得庇護. 返還技力.
若受到攻擊則反擊, 寒冷傷害. 寒冷附著",主幹員受到攻擊+生命<60%,回復生命 ❇️ ++. 冷卻時間 19s,寒冷傷害. 生成數秒的冰雪地帶. 敵人在冰雪地帶一段時間後會凍結 ❄️,"對生命值 < 55% 的目標, 治療效果 + 25%","戰技成功格擋攻擊後, 終結技能量++",
餘燼,6星,重裝,灼熱,力量,意志,"灼熱傷害. 倒地.
若過程中受到敵人的傷害, 造成失衡值++",主幹員受到攻擊,物理傷害. 倒地. 治療主控幹員生命 ❇️ ++. 冷卻時間 18s,灼熱傷害. 全隊獲得餘燼最大生命值的護盾 10s.,"戰技,連攜技的施放過程中獲得50%庇護, 更不容易被打斷","受到來自敵人的傷害後, 攻擊++",
弧光,5星,先鋒,電磁,敏捷,智識,"物理傷害.
若敵人處於導電 ⚡, ⚡→0, 電磁傷害, 恢復技力",敵人進入導電 ⚡or 導電 ⚡→0,物理傷害. 回復技力,"對路徑上的敵人施加電磁傷害. 電磁附著.
一段時間後, 若敵人處於電磁附著, 電磁附著→0, 導電 ⚡","戰技觸發3次額外效果後, 提升全隊電磁傷害 15s","自身被施加法術附著時, 有 50% 概率忽略該效果",
艾維文娜,5星,突擊,電磁,意志,敏捷,"電磁傷害. 召回所有雷槍, 強雷槍.
雷槍被召回時穿過敵人造成電磁傷害.
強雷槍則造成電磁傷害 + 電磁附著.",對電磁附著 or 導電 ⚡狀態的敵人重擊,擲出3支雷槍. 電磁傷害.,投下1支強雷槍. 電磁傷害.,"擲出, 召回雷槍, 強雷槍時若命中敵人, 終結技能量++",終結技命中敵人時施加電磁脆弱 10s,
大潘,5星,突擊,物理,力量,意志,物理傷害. 擊飛,敵人4層破防,物理傷害. 猛擊. 冷卻時間 19s.,擊飛. 物理傷害. 倒地,"每消耗1破防, 物理傷害++ 10s","終結技最後一擊每命中一個敵人, 備料狀態+1 (最多3). 20s
當處於備料狀態時, 連攜技命中敵人後立即恢復40%冷卻時間, 備料-1",
阿列什,5星,先鋒,寒冷,力量,智識,"物理傷害. 若敵人處於寒冷附著, 寒冷附著→0, 凍結 ❄️ , 恢復技力",附近目標的法術異常or源石結晶被消耗,"物理傷害. 技力++. 若釣出珍鱗, 大幅增加傷害且技力+++. 冷卻時間 8s. ","寒冷傷害. 寒冷附著+1, 技力++","附近有敵人被凍結 ❄️ 或被附著源石結晶後，自身終結技能量++
自身造成凍結 ❄️, 終結技能量+++",每 10 點智識會使連攜技釣起珍鱗的概率+0.5% (最多30%）,
安塔爾,4星,輔助,電磁,智識,力量,對敵人施加長時間聚焦. 電磁傷害. 最多1人,被聚焦的敵人進入物理異常 or 法術附著,電磁傷害. 再對其施加該物理異常 or 法術附著,全隊電磁增福 + 灼熱增福,"處於增幅狀態的幹員造成技能傷害後, 回復生命值 ❇️ ++ ","有 30% 概率免疫物理傷害, 回復生命值 ❇️ ++ ",聚焦：敵人受到電磁脆弱 + 灼熱脆弱
埃特拉,4星,近衛,寒冷,意志,力量,寒冷傷害. 寒冷附著,敵人進入凍結 ❄️,"物理傷害. 擊飛
若命中處於凍結 ❄️ 狀態的敵人, 物理脆弱","物理傷害. 若敵人處於物理脆弱, 強制擊飛.","每當觸發碎冰 🧊, 下一次戰技返還 15 技力","不會被寒冷附著, 受到寒冷傷害 -20%",
秋栗,4星,先鋒,灼熱,敏捷,智識,灼熱傷害. 灼熱附著,敵人失衡 or 觸發失衡節點,物理傷害. 技力++,技力+++,"每10智識使連攜技技力回復量+1.5%, 最多 75%",施放終結技時，獲得連擊,
螢石,4星,術師,自然,敏捷,智識,"將自製炸彈黏附目標, 使目標緩速. (最多1個炸彈)
短暫延遲後爆炸 自然傷害. 自然附著
若黏附目標被擊敗則自製炸彈提前爆炸. ",敵人進入2層以上寒冷附著or自然附著,自然傷害. 並施加該法術附著,"自然傷害. 若目標有自製炸彈, 立即將其引爆且傷害範圍++
若最後一段傷害命中處於2層以上寒冷附著or自然附著的目標, 再次施加該法術附著",對緩速狀態的目標造成傷害++,"有20%概率免疫法術傷害, 使自身攻擊力++",
卡契爾,4星,重裝,物理,力量,意志,"自身及周圍幹員獲得庇護. 返還技力.
若受到攻擊則反擊, 物理傷害, 破防+1",敵人開始蓄力 or 主幹員生命 < 40%,物理傷害. 自身和主幹員獲得護盾.,物理傷害. 施加虛弱. 物理傷害. 倒地,"每有10意志, 防禦力+1.2","終結技最後一擊產生3衝擊波, 每個波造成物理傷害",
萊萬汀,6星,突擊,灼熱,智識,力量,"灼熱傷害. 熔火+1.
若施放時有4層熔火, 熔火→0, 灼熱傷害. 施放燃燒 🔥 5s, 終結技能量++",敵人進入燃燒 🔥 or 腐蝕 🤢,"灼熱傷害. 命中敵人則熔火+1, 每命中一敵人, 終結技能量++. 冷卻時間 9s","普攻強化範圍++, 灼熱傷害, 灼熱附著 持續時","主幹員重擊或處決命中後, 吸收周圍敵人的灼熱附著. 敵人被擊敗也會吸收
每吸收1灼熱附著, 熔火+1 (最多4)
達到4層熔火後, 自身無視20點灼熱抗性, 20s. ","生命值<40%, 獲得 90% 庇護. 每s回復5%最大生命 ❇️ ++, 持續8s.  120s 最多觸發一次",
伊馮,6星,突擊,寒冷,智識,敏捷,"寒冷傷害. 命中處於寒冷附著or自然附著的敵人時, 法術附著→0, 凍結 ❄️, 基於消耗層數造成寒冷傷害. 
施加凍結 ❄️後, 基於消耗層數獲得終結技能量",對處於凍結 ❄️ 狀態的敵人重擊,"寒冷傷害. 中心牽引. 凍結 ❄️ . 
成功命中敵人, 終結技能量++","將伊馮切成主幹員, 普攻強化. 每次普攻增加爆擊率, 疊至最大層數後自身爆擊傷害增加. 最後一次普攻變重擊. 寒冷傷害
若敵人處於凍結 ❄️, 寒冷傷害, 消耗凍結 ❄️. 冷卻時間 18s","戰技施加凍結 ❄️ 後, 下次普攻就是重擊, 且此次重擊造成傷害+50%","對處於寒冷附著的敵人造成爆擊傷害++, 對處於凍結 ❄️ 的敵人效果加倍",
莊芳宜,6星,突擊,電磁,意志,智識,"電磁傷害.
消耗目標導電 ⚡ 狀態, 使本次戰記傷害倍率提高, 並生成相當於所消耗的 導電 ⚡ 的異常等級 + 1 柄青霆劍。
若現存青霆劍 < 3, 沒消耗導電 ⚡仍能生成一柄。一次戰技最多生成 3 柄
隨後青霆劍依次雷擊目標, 造成電磁傷害並獲得終結技能量, 最後一次雷擊造成6倍傷害。",對電磁附著 狀態的敵人重擊or處決,"電磁傷害. 命中處於電磁附著的敵人時，消耗其電磁附著，施加導電 ⚡, 基於消耗層數額外獲得終極技能量

若強制施加 導電 ⚡時敵人已處於 導電 ⚡狀態，則所施加的導電 ⚡的異常等級+1. ","進入天理合真狀態。
戰技傷害倍率提高、傷害範圍擴大，最後一次雷擊命中時附加 電磁附著
連攜技對一定範圍內的敵人生效、傷害倍率提高，冷卻恢復速度提升至4倍
首次施放此角色戰技不消耗技力與導電 ⚡, 若存在目標則無論是否處於導電 ⚡ 狀態, 必定生成 3 柄青霆劍","施放戰技時對自身施加電磁增幅 5s, 每次施放戰技時該效果重置","有 9% 免疫受到的傷害,  每存在一柄青霆劍, 此機率+1%
觸發傷害免疫效果後, 回復自身生命值, 每 99s 最多回復一次","青霆劍：可以在技能時造成傷害的額外東東
天理合真狀態：跟42 開大招很像 普攻得到強化 自身行動更不容易被打斷"
弭芙,6星,近衛,物理,力量,意志,"連續施放可最多施放3段不同招式，初始戰技為斷雲。
  • 斷雲：消耗100技力, 施放後返還50技力, 對目標及附近敵人造成物理傷害並嘗試將其拉至自身附近，施放後戰技在一段時間內替換成追形
  • 追形：消耗 50 技力，物理傷害，最後一拳造成猛擊，如果猛擊消耗的最大破防層數 ≥ 3, 戰技在一段時間內替換成開天
  • 開天：消耗 50 技力，物理傷害，本次傷害類型不屬於戰技傷害，視為猛擊傷害。",當有敵人達到破防 ≥ 3,物理傷害. 施加物理脆弱，戰技在一段時間內替換成追形,對深潛目標擊飛. 物理傷害. 戰技在一段時間內替換成追形,"若目標處於脆弱 or 失衡, 傷害倍率提升至 1.2 倍","放連攜技後獲得 30% 最大生命護盾, 持續期間難以被打斷, 持續 10s. 該效果每 60s 最多觸發一次",
卡繆,6星,先鋒,灼熱,敏捷,智識,"召喚銜火血翼飛向敵人， 隨後銜火血翼會在目標周圍盤桓
該目標被擊敗後，銜火血翼會立即飛向附近的另一個敵人",當有敵人的灼熱附著被消耗或吸收,"灼熱傷害. 恢復一定技力
當受銜火血翼影響的敵人被卡繆連攜技擊命中時，會短暫延遲後爆炸，使敵人受到一次額外的灼熱傷害, 使隊伍獲得連擊效果
","對大範圍敵人造成灼熱傷害, 並施加灼熱附著, 同時恢復一定技力。
施放終結技後的一段時間內，卡繆下一次的戰技會被替換成追獵。","當連攜技命中銜火血翼盤桓的敵人時，恢復生命值並獲得連擊持續15s
施放追獵時目標無需倍盤桓, 即可觸發上述效果","每當透過技能恢復生命獲得灼熱傷害+4% (最多5層）, 持續 40s
小隊內其他幹員獲得該效果的25%, 最多疊加 5 層。
若自身生命已滿，每次觸發可獲得2層效果","  • 銜火血翼：在場上最多只存在一群, 再次施放戰技時已在場的銜火血翼會消失 對目標施加長時間虛弱和灼熱脆弱, 造成灼熱傷害, 施加灼熱附著
  • 追獵：本身視為連攜技, 不消耗技力且命中後可以恢復技力。只要追獵命中就可以使隊伍獲得連擊"